project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado
GLD12018,Smokeless Energy efficient cookstoves distribution in Rural India-2,India,fuel-switching,gold-standard,unknown,37663.0,37663.0,0.0
CAR1513,AgriCapture Soil Enrichment #1,United States,agriculture,climate-action-reserve,registered,37647.0,37647.0,0.0
VCS558,Ituiutaba Ceramic Fuel Switching Project,Brazil,fuel-switching,verra,registered,37629.0,123219.0,85590.0
VCS3160,Distribution of energy efficient cookstoves in India-4,India,fuel-switching,verra,completed,37493.0,99737.0,62244.0
CAR512,Rio Grande Valley Landfill,United States,ghg-management,climate-action-reserve,registered,37469.0,483849.0,446380.0
VCS2053,Smart Anatolia Bundled Solar Project,Türkiye,renewable-energy,verra,registered,37431.0,37431.0,0.0
VCS1683,Kahone Solar PV Plant,Senegal,renewable-energy,verra,registered,37415.0,101376.0,63961.0
ACR467,WTE Digester,United States,ghg-management,american-carbon-registry,completed,37316.0,37316.0,0.0
ACR845,Harrison County Flare I,United States,ghg-management,american-carbon-registry,active,37265.0,68393.0,31128.0
VCS4205,Yılmazlar Biogas Power Plant Project,Türkiye,ghg-management,verra,registered,37150.0,37150.0,0.0
VCS2503,Liling LFG Power Generation Project,China,ghg-management,verra,registered,37148.0,140055.0,102907.0
ACR585,A-Gas V4,United States,ghg-management,american-carbon-registry,completed,37136.0,94592.0,57456.0
GLD3517,GS1340 Efficient cookstoves in Burkina Faso - VPA-03 - tiipaalga F3PA cookstoves in Bam and Loroum,Burkina Faso,fuel-switching,gold-standard,unknown,37127.0,62047.0,24920.0
VCS1519,"Satara Wind Power Project in Maharashtra, India",India,renewable-energy,verra,registered,37090.0,551840.0,514750.0
GLD5052,GS2404 International Water Purification Programme- Chlorine Dispensers in Uganda - CPA 10,Uganda,energy-efficiency,gold-standard,unknown,36999.0,36999.0,0.0
ACR470,PERENNIAL CN9-1 AMM FLARE PROJECT,United States,ghg-management,american-carbon-registry,active,36917.0,65456.0,28539.0
ACR368,Anew - Middlebury Forestry Project,United States,forest,american-carbon-registry,registered,36907.0,138696.0,101789.0
VCS1712,Replacement of existing luminaires with LED lighting luminaires in several buildings across 12 Town Councils in Singapore,Singapore,energy-efficiency,verra,registered,36901.0,58838.0,21937.0
GLD6289,Renoe Acipayam Solar Power Plant,Türkiye,renewable-energy,gold-standard,unknown,36878.0,50480.0,13602.0
VCS2753,Sustainable Biogas Project for Community Empowerment,India,ghg-management,verra,unknown,36799.0,36799.0,0.0
