country,category,total_volume,market_share,idade_na_aposentadoria,growth_trend,share_norm,growth_norm,age_norm,alignment_score
Nepal,energy-efficiency,8832,8.005575571574235e-06,1.0,0.0,5.339689030985164e-05,0.08376582189792386,0.9411764705882353,22.176298163294057
Mozambique,energy-efficiency,634818,0.0005754170599179814,2.0,84007.39999999998,0.003860424883191718,0.10909512012695734,0.8823529411764706,22.165280623935374
Zimbabwe,forest,19474896,0.01765259869526141,6.0,92076.55000000008,0.11843919235415402,0.11152807135273993,0.6470588235294118,22.139867018863995
Nigeria,energy-efficiency,2054825,0.0018625517237160355,2.0,50248.000000000015,0.012496410990050657,0.09891623218811824,0.8823529411764706,22.10356455065617
Uganda,energy-efficiency,2010071,0.001821985427392413,2.0,46073.233333333344,0.012224232809079461,0.09765748700690054,0.8823529411764706,22.042327616168613
Egypt,renewable-energy,497054,0.0004505438587130049,3.0,165481.49999999994,0.0030225924006579597,0.1336605962259926,0.8235294117647058,21.93791578036014
Malawi,fuel-switching,5414710,0.004908046886680109,6.0,344990.76190476195,0.03293005686689757,0.1877849189601731,0.6470588235294118,21.769775503671063
India,land-use,194157,0.00017598941760078562,1.5,2701.852130325814,0.0011804787464229785,0.08458046463629897,0.9117647058823529,21.66573185295594
Zambia,forest,8568657,0.00776687399913933,5.0,162667.25000000003,0.05211125982841074,0.13281206410214333,0.7058823529411764,21.51458001604569
Somalia,fuel-switching,394697,0.0003577645676374134,3.0,127026.49999999996,0.002400092913021799,0.12206592523989516,0.8235294117647058,21.449228961410796
India,ghg-management,4571047,0.004143326788917311,4.0,139389.85000000003,0.027799193464906637,0.12579363231403295,0.7647058823529411,21.437830678216407
Rwanda,energy-efficiency,2436609,0.002208611581507917,3.0,83172.28333333335,0.014818287797574166,0.10884332184363901,0.8235294117647058,21.417052620942645
China,land-use,1602814,0.0014528361191323805,5.0,286162.9999999999,0.009747438121503239,0.17004760146871054,0.7058823529411764,21.30944864243208
United States,renewable-energy,3700739,0.003354454906609155,3.0,43067.98333333333,0.022506284488621173,0.09675136595681681,0.8235294117647058,21.240894253111637
Vietnam,renewable-energy,3177631,0.002880294962531364,4.0,147456.0166666667,0.019324924523221872,0.12822568402691883,0.7647058823529411,21.196141989064454
Madagascar,energy-efficiency,289953,0.0002628216319864882,2.0,10291.208067940554,0.0017630765259357972,0.08686875185754529,0.8823529411764706,21.192331958868657
Indonesia,land-use,259692,0.00023539220237016033,2.0,6663.642857142856,0.0015790397038781183,0.08577499486626165,0.8823529411764706,21.141220206335003
Zimbabwe,fuel-switching,539613,0.0004891205447128496,2.0,0.0,0.0032814213590516925,0.08376582189792386,0.8823529411764706,21.128948553808435
Pakistan,renewable-energy,1052605,0.0009541110591617863,4.5,230663.09999999998,0.006401259349237502,0.15331367661469134,0.7352941176470589,21.094479791498333
Uganda,ghg-management,165889,0.00015036649977274435,2.0,4450.559523809525,0.0010085626535666135,0.0851077221289111,0.8823529411764706,21.09171021482852
Ethiopia,energy-efficiency,303124,0.00027476020035754846,2.0,1650.821428571428,0.0018431779430509514,0.08426356552868931,0.8823529411764706,21.091328562399024
Ghana,fuel-switching,6951338,0.006300890136158933,4.0,61323.56666666668,0.042275291122369864,0.10225565622880443,0.7647058823529411,21.075355541105797
Myanmar,land-use,176036,0.0001595640286817982,2.0,2345.3571428571427,0.0010702731599417916,0.08447297686909334,0.8823529411764706,21.068788824690817
Gambia,energy-efficiency,48757,4.4194729182885525e-05,2.0,2276.0,0.00029620678161062917,0.08445206480949213,0.8823529411764706,21.036989687173524
Sierra Leone,energy-efficiency,135423,0.00012275125233574474,2.0,471.1,0.0008232790931816545,0.08390786453221201,0.8823529411764706,21.036304568545162
Vietnam,energy-efficiency,104117,9.437460504818778e-05,2.0,0.0,0.0006328869464800353,0.08376582189792386,0.8823529411764706,21.02300717730557
El Salvador,renewable-energy,91063,8.254208879916944e-05,2.0,0.0,0.0005534970824589872,0.08376582189792386,0.8823529411764706,21.01983158274473
Ghana,ghg-management,145023,0.0001314529649135428,2.0,-1547.2999999999988,0.0008816629368006266,0.0832992912928845,0.8823529411764706,21.01429699271682
Cameroon,fuel-switching,85836,7.780418758623709e-05,2.0,-769.3000000000004,0.0005217082959385322,0.08353386817566136,0.8823529411764706,21.009281882393406
Bangladesh,energy-efficiency,45572,4.13077547495223e-05,2.0,0.0,0.0002768367251599597,0.08376582189792386,0.8823529411764706,21.00876516845277
Angola,fuel-switching,37441,3.393758548180603e-05,2.0,0.0,0.0002273868259447657,0.08376582189792386,0.8823529411764706,21.00678717248416
United States,carbon-capture,32594,2.9544127058411525e-05,2.0,0.0,0.00019790906656756176,0.08376582189792386,0.8823529411764706,21.005608062109072
Zimbabwe,energy-efficiency,99865,9.052047151893805e-05,2.0,-1552.9000000000003,0.0006070277690771323,0.08329760282174883,0.8823529411764706,21.00324404716245
Liberia,fuel-switching,13226,1.1988421932703897e-05,2.0,0.0,8.011966206628536e-05,0.08376582189792386,0.8823529411764706,21.00089648592902
Cambodia,renewable-energy,6550,5.937105977560149e-06,2.0,0.0,3.951856414959179e-05,0.08376582189792386,0.8823529411764706,20.99927244201235
Mozambique,forest,5367,4.864801188025239e-06,2.0,0.0,3.232397175362887e-05,0.08376582189792386,0.8823529411764706,20.998984658316513
Zambia,renewable-energy,2752,2.494490938968783e-06,2.0,0.0,1.642045601783592e-05,0.08376582189792386,0.8823529411764706,20.99834851768708
Cote d'Ivoire,fuel-switching,2744,2.487239511820618e-06,2.0,0.0,1.6371802814820115e-05,0.08376582189792386,0.8823529411764706,20.998346571558958
United Kingdom,energy-efficiency,1478,1.3397011656234962e-06,2.0,0.0,8.67243343756816e-06,0.08376582189792386,0.8823529411764706,20.998038596783868
Burkina Faso,energy-efficiency,1100,9.970712328726968e-07,2.0,0.0,6.373569595071129e-06,0.08376582189792386,0.8823529411764706,20.99794664223017
Switzerland,carbon-capture,180,1.63157110833714e-07,2.0,0.0,7.784512482529624e-07,0.08376582189792386,0.8823529411764706,20.997722837496298
Australia,fuel-switching,115,1.0423926525487284e-07,2.0,0.0,3.831439737495049e-07,0.08376582189792386,0.8823529411764706,20.99770702520532
Brazil,ghg-management,3772704,0.0034196860259488675,4.0,116549.00000000003,0.02294395045800027,0.11890682589632905,0.7647058823529411,20.968148701231996
Madagascar,fuel-switching,2321983,0.002104711320472221,3.0,45829.150000000016,0.014121172541462883,0.09758389278135925,0.8235294117647058,20.938790848207002
Kenya,energy-efficiency,2750634,0.002493252757783234,3.0,33771.8,0.016728078057204134,0.09394844859427767,0.8235294117647058,20.89764930135339
Mongolia,renewable-energy,278504,0.00025244393330907047,2.0,-14226.100000000006,0.001693447710769796,0.0794764720366491,0.8823529411764706,20.893855613426172
Colombia,forest,27477315,0.024906218493710403,5.0,-277818.55000000005,0.16710710688222608,0.0,0.7058823529411764,20.801931334112574
Thailand,renewable-energy,1458881,0.0013223711611677752,3.0,47516.17857142858,0.008872087937793913,0.09809255332562813,0.8235294117647058,20.749173885831
Eritrea,energy-efficiency,1382991,0.0012535823103834943,3.0,44137.67857142859,0.008410551490685184,0.09707389265922507,0.8235294117647058,20.68996600129053
Ghana,forest,1070999,0.0009707839030322048,3.0,49643.19369369368,0.006513125226271604,0.09873387540403453,0.8235294117647058,20.680468260506363
Rwanda,fuel-switching,1513082,0.001371500486524987,3.0,40215.08333333333,0.009201719469876404,0.09589118036700436,0.8235294117647058,20.674304228769348
Zambia,energy-efficiency,308791,0.0002798969300636299,3.0,64377.71428571427,0.0018776426557372762,0.10317652053216758,0.8235294117647058,20.672754762810314
Malawi,forest,2747720,0.002490611425444515,4.0,95856.1166666667,0.01671035612800563,0.11266765871381183,0.7647058823529411,20.469238240731524
Senegal,renewable-energy,544104,0.0004931913146281507,3.0,41116.678571428565,0.0033087340508946928,0.09616302278407228,0.8235294117647058,20.449458508692796
Mauritius,ghg-management,131201,0.00011892431165830062,2.5,0.0,0.0007976023652900607,0.08376582189792386,0.8529411764705882,20.441360499940323
Bangladesh,renewable-energy,30557,2.7697732420809995e-05,2.5,0.0,0.00018552074474966108,0.08376582189792386,0.8529411764705882,20.416877235118708
Lesotho,fuel-switching,25316,2.2947141210368355e-05,2.5,0.0,0.00015364681512392846,0.08376582189792386,0.8529411764705882,20.415602277933676
United Kingdom,ghg-management,1109,1.0052290884143825e-06,2.5,446.9999999999999,6.428304448463916e-06,0.08390059807607457,0.8529411764705882,20.415104584632687
Tanzania,forest,3625175,0.003285961551481162,5.0,155617.75,0.022046730659535337,0.13068655030376874,0.7058823529411764,20.226978297355693
China,fuel-switching,13227991,0.011990226631635396,6.0,54708.84999999999,0.08044770020596909,0.10026123512839473,0.6470588235294118,20.16953388396279
Ethiopia,fuel-switching,482418,0.0004372773727454369,3.0,19003.142857142866,0.002933581365740535,0.08949551086243769,0.8235294117647058,20.167751924421246
Mauritania,renewable-energy,663336,0.0006012665848444029,3.0,13864.25,0.004033861388642327,0.08794606938769116,0.8235294117647058,20.14978546634746
Burkina Faso,fuel-switching,484001,0.0004387122488923801,3.0,16984.32142857143,0.0029432086182872882,0.08888681055704258,0.8235294117647058,20.14378900230731
