project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado,vintage,idade_estimada,fator_status,fator_volume,fator_volume_norm,idade_norm,fator_idade_norm,opportunity_score
CAR1462,"Carbono, Agua y Biodiversidad Indígena Metaltepec",Mexico,forest,climate-action-reserve,registered,1041.0,13492.0,12451.0,2021.0,4.0,1.0,1041.0,2.558259434147977e-05,0.13043478260869565,0.8695652173913043,0.6478337617348242
CAR1428,Manglares San Crisanto,Mexico,forest,climate-action-reserve,registered,1033.0,13400.0,12367.0,2021.0,4.0,1.0,1033.0,2.538561575174749e-05,0.13043478260869565,0.8695652173913043,0.6478337026412473
CAR1398,Veseth and Veseth Ranch,United States,land-use,climate-action-reserve,registered,1032.0,22838.0,21806.0,2021.0,4.0,1.0,1032.0,2.5360993428030953e-05,0.13043478260869565,0.8695652173913043,0.6478336952545501
CAR1325,Captura de Carbono Forestal Ejido San Lucas,Mexico,forest,climate-action-reserve,registered,769.0,9946.0,9177.0,2021.0,4.0,1.0,769.0,1.8885322290582273e-05,0.13043478260869565,0.8695652173913043,0.6478317525532089
CAR1506,Proyecto forestal de carbono del Ejido Lázaro Cárdenas Número 2,Mexico,forest,climate-action-reserve,registered,767.0,2067.0,1300.0,2021.0,4.0,1.0,767.0,1.8836077643149204e-05,0.13043478260869565,0.8695652173913043,0.6478317377798146
CAR1588,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Las Rosas,Mexico,forest,climate-action-reserve,registered,662.0,8586.0,7924.0,2021.0,4.0,1.0,662.0,1.625073365291304e-05,0.13043478260869565,0.8695652173913043,0.6478309621766176
CAR1508,Bonos Comunitarios CO2-El Naranjal,Mexico,forest,climate-action-reserve,registered,627.0,8117.0,7490.0,2021.0,4.0,1.0,627.0,1.538895232283432e-05,0.13043478260869565,0.8695652173913043,0.6478307036422186
CAR1361,Los Romeros - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,586.0,3472.0,2886.0,2021.0,4.0,1.0,586.0,1.4379437050456385e-05,0.13043478260869565,0.8695652173913043,0.6478304007876369
CAR1357,San Lorenzo Sayula - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,534.0,3243.0,2709.0,2021.0,4.0,1.0,534.0,1.309907621719657e-05,0.13043478260869565,0.8695652173913043,0.6478300166793869
CAR1345,El Nopalillo - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,516.0,3000.0,2484.0,2021.0,4.0,1.0,516.0,1.265587439029894e-05,0.13043478260869565,0.8695652173913043,0.6478298837188388
CAR1433,Ejido La Libertad,Mexico,forest,climate-action-reserve,registered,466.0,5326.0,4860.0,2021.0,4.0,1.0,466.0,1.1424758204472196e-05,0.13043478260869565,0.8695652173913043,0.6478295143839831
CAR1542,Ejido Atopixco,Mexico,forest,climate-action-reserve,registered,433.0,5625.0,5192.0,2021.0,4.0,1.0,433.0,1.0612221521826543e-05,0.13043478260869565,0.8695652173913043,0.6478292706229782
CAR1590,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Rosa de Palo Amarillo,Mexico,forest,climate-action-reserve,registered,426.0,5533.0,5107.0,2021.0,4.0,1.0,426.0,1.04398652558108e-05,0.13043478260869565,0.8695652173913043,0.6478292189160985
CAR1587,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Concepción del Monte,Mexico,forest,climate-action-reserve,registered,386.0,5017.0,4631.0,2021.0,4.0,1.0,386.0,9.454972307149404e-06,0.13043478260869565,0.8695652173913043,0.6478289234482139
VCS1989,Oualidia 1&2 Wind Projects.,Morocco,renewable-energy,verra,registered,347.0,50347.0,50000.0,2021.0,4.0,1.0,347.0,8.494701682204542e-06,0.13043478260869565,0.8695652173913043,0.6478286353670264
CAR1589,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Los Lobos,Mexico,forest,climate-action-reserve,registered,339.0,4416.0,4077.0,2021.0,4.0,1.0,339.0,8.297723092472264e-06,0.13043478260869565,0.8695652173913043,0.6478285762734495
CAR1358,Sabanetas - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,299.0,1499.0,1200.0,2021.0,4.0,1.0,299.0,7.3128301438108675e-06,0.13043478260869565,0.8695652173913043,0.6478282808055649
CAR1544,Ejido Zacualtipán,Mexico,forest,climate-action-reserve,registered,291.0,3783.0,3492.0,2021.0,4.0,1.0,291.0,7.115851554078588e-06,0.13043478260869565,0.8695652173913043,0.647828221711988
CAR1363,Puentecillas y Anexos - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,276.0,3618.0,3342.0,2021.0,4.0,1.0,276.0,6.746516698330565e-06,0.13043478260869565,0.8695652173913043,0.6478281109115311
CAR1350,El Ocote - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,271.0,2089.0,1818.0,2021.0,4.0,1.0,271.0,6.62340507974789e-06,0.13043478260869565,0.8695652173913043,0.6478280739780456
CAR1359,Tecocomulco - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,266.0,1528.0,1262.0,2021.0,4.0,1.0,266.0,6.500293461165216e-06,0.13043478260869565,0.8695652173913043,0.64782803704456
CAR1523,Captura de carbono forestal en el ejido San Miguel Tenextepec,Mexico,forest,climate-action-reserve,registered,246.0,3197.0,2951.0,2021.0,4.0,1.0,246.0,6.0078469868345175e-06,0.13043478260869565,0.8695652173913043,0.6478278893106177
CAR1522,Captura de carbono forestal en el ejido Amanalco de Becerra,Mexico,forest,climate-action-reserve,registered,236.0,3063.0,2827.0,2021.0,4.0,1.0,236.0,5.761623749669168e-06,0.13043478260869565,0.8695652173913043,0.6478278154436465
CAR1438,Predio Las Piedras,Mexico,forest,climate-action-reserve,registered,221.0,2818.0,2597.0,2021.0,4.0,1.0,221.0,5.392288893921145e-06,0.13043478260869565,0.8695652173913043,0.64782770464319
CAR1432,Ejido sierra de Agua,Mexico,forest,climate-action-reserve,registered,217.0,2829.0,2612.0,2021.0,4.0,1.0,217.0,5.2937995990550054e-06,0.13043478260869565,0.8695652173913043,0.6478276750964014
CAR1348,Chacalapa - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,214.0,2665.0,2451.0,2021.0,4.0,1.0,214.0,5.219932627905401e-06,0.13043478260869565,0.8695652173913043,0.6478276529363101
CAR1524,Captura de carbono forestal en los Bienes Comunales de San Miguel Ixtapan,Mexico,forest,climate-action-reserve,registered,199.0,2587.0,2388.0,2021.0,4.0,1.0,199.0,4.850597772157377e-06,0.13043478260869565,0.8695652173913043,0.6478275421358534
CAR1591,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido San Felipe de Jesús,Mexico,forest,climate-action-reserve,registered,195.0,2547.0,2352.0,2021.0,4.0,1.0,195.0,4.752108477291237e-06,0.13043478260869565,0.8695652173913043,0.6478275125890649
CAR1353,Hueyapan - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,189.0,1593.0,1404.0,2021.0,4.0,1.0,189.0,4.604374534992028e-06,0.13043478260869565,0.8695652173913043,0.6478274682688823
VCS2708,BluSmart EV Project in India,India,fuel-switching,verra,registered,167.0,237.0,70.0,2021.0,4.0,1.0,167.0,4.06268341322826e-06,0.13043478260869565,0.8695652173913043,0.6478273057615457
CAR1564,Bluesource - Soda Creek Avoided Grassland Conversion Project,United States,land-use,climate-action-reserve,registered,149.0,6845.0,6696.0,2021.0,4.0,1.0,149.0,3.619481586330631e-06,0.13043478260869565,0.8695652173913043,0.6478271728009977
CAR1525,Captura de carbono forestal en los Bienes Comunales de San Miguel Xoltepec,Mexico,forest,climate-action-reserve,registered,85.0,1119.0,1034.0,2021.0,4.0,1.0,85.0,2.043652868472397e-06,0.13043478260869565,0.8695652173913043,0.6478267000523823
